bin,sp,bin2,h,pa,pe,bw1,bw2,n1,n2,m,sd,n,ald,temp_ym_hab,hab_lat,opt_ym_temp,delta_temp,delta_pe
100,B. digitata,92,0.181997406999214,0.071290568893486,14.3274731311126,0.135629470972593,0.069891767670991,10,8,14.4241851806641,4.17730115826246,10,200,sub,ll,18.465440042858,0.10853751944430101,3.5759209294733
100,G. bulloides,92,0.0532766012721115,0.056982396199536,10.4568279924216,0.106865661510301,0.102827316592754,33,28,13.2708250970551,6.80584984227039,33,102.35,surfsub,gl,12.4529936263534,0.033046513154499024,-1.2042704534533097
100,G. falconensis,92,0.0763104841228011,0.0617783770979694,16.200948120182,0.109842594236621,0.126894722581187,19,21,16.4048794445239,5.43340497926958,19,92.92,surfsub,ml_ll,16.6977041685922,0.1181845169549014,2.019373783335997
100,G. calida,92,0.0640729212881999,0.0524442673394491,13.9042151829278,0.135780098075229,0.178636310515393,17,12,16.8035833134371,6.88782049204566,17,73.33,surf,ll_ml,17.8875568978172,0.057881880893653204,4.760451329507099
100,G. siphonifera,92,0.0478364487818635,0.0543073773796046,15.6401955576757,0.138276452016456,0.153167619315316,20,17,16.9363505125046,6.47356777719137,20,83.78,surfsub,ll_ml,16.6977041685922,0.1181845169549014,3.2160554321529986
100,G. glutinata,92,0.0217438068176917,0.0537543908191538,13.3479262849615,0.128863352869308,0.112751238506518,27,27,14.4502347928506,6.88589360387992,27,78.62,surfsub,gl,12.4529936263534,0.033046513154499024,-3.81738405285963
100,G. conglobatus,92,0.0788792604927428,0.118825632280722,20.2693081933133,0.0586162070693263,0.0713365298512216,10,8,23.8866365432739,3.37418901575405,10,40,surf,ll,23.3505792204894,0.24558944941900052,3.2216334123300996
100,G. ruber,92,0.0388208376011179,0.0586789536962612,15.0534032663265,0.102961768553789,0.113115962331099,23,21,18.204947202102,6.46385551689306,23,40,surf,ll_ml,17.8875568978172,0.057881880893653204,0.38514717199320003
100,G. inflata,92,0.035647072146771,0.0623258978060483,11.1835568035732,0.0996762773856294,0.090592933875448,26,24,13.485444848354,6.29139949710532,26,104.35,surfsub,gl,12.4529936263534,0.033046513154499024,-1.5819332675787194
100,G. rubescens,92,0.164970696100749,0.0651674589829535,18.6834922087815,0.108324291652784,0.0930594062516851,15,10,17.9736570358276,5.87323272988855,15,107.41,surfsub,ll,21.8439457309979,0.2147830105360029,0.9543789958459001
100,G. tenella,92,0.087034087242527,0.0756669264543886,19.9673390428949,0.0987813079225045,0.112094687236809,12,11,21.3723248640696,4.78363704305776,12,40,surf,ll,23.3505792204894,0.24558944941900052,-0.4284968006049006
100,G. hirsuta,92,0.101886474873621,0.0949334201087107,12.4610126886962,0.0867461730298581,0.127016782422865,13,11,13.8330285732563,3.6551079933929,13,167.24,sub,ml,10.6937452763833,0.17112886882549994,-1.9180972267097012
100,G. scitula,92,0.0433305319468867,0.0769734128636366,12.9312726884216,0.10407527307125,0.104602042693291,23,21,13.7082389541294,4.47573451977559,23,224.28,sub,ml,10.6937452763833,0.17112886882549994,-2.274443087161
100,G. menardii,92,0.103864396695072,0.0912973321041763,21.3982896146408,0.0876841978736161,0.129430112904333,11,8,23.5914226878773,3.48868393816776,11,50,surf,ll,23.3505792204894,0.24558944941900052,3.126657086432502
100,N. dutertrei,92,0.0982233349435266,0.0573479777295654,16.6319388875971,0.105182529898338,0.155170857437742,17,15,18.1408977228052,6.56825390856672,17,62.69,surf,ll_ml,17.8875568978172,0.057881880893653204,1.691995250559497
100,N. incompta,92,0.0130891741000701,0.0572258276260088,8.92306089208821,0.100225555725281,0.0926911986782125,34,29,11.9886391513488,6.70337450812706,34,80.93,surfsub,ml_hl,6.47634134550201,-0.018395708916759013,-2.6391214801332312
100,N. pachyderma,92,0.0388916123193118,0.0568065927169388,5.85188129794126,0.0938715565432085,0.0982834650083853,41,37,10.7565117638286,7.35984100585921,41,113.35,surfsub,hl_ml,6.47634134550201,-0.018395708916759013,0.20279527136784026
100,O. universa,92,0.0462895539726335,0.0561745106963061,15.5777942968651,0.133113899955398,0.122201357461387,15,15,16.1354515711466,6.2498716066991,15,79,surfsub,ml_ll,16.6977041685922,0.1181845169549014,1.3977548829005002
100,P. obliquiloculata,92,0.115201725957354,0.0789695873674951,26.218119015581,0.1119173587375,0.170440613850711,9,10,22.4737774531047,6.21179041123759,9,44.51,surf,ll,23.3505792204894,0.24558944941900052,-2.0155310841353007
100,T. sacculifer,92,0.0599361608926577,0.110612323391554,20.2693081933133,0.0624976341279534,0.0776387738981361,15,10,22.28014087677,3.96591282571698,15,60.71,surf,ll,23.3505792204894,0.24558944941900052,0.42775821275209935
100,T. trilobus,92,0.101978500518818,0.134799530387284,19.9061238017314,0.0505427588107145,0.0721056814399065,8,6,22.1202735900879,3.31132490297663,8,60.7,surf,ll,23.3505792204894,0.24558944941900052,0.39946854329360093
100,G. crassaformis,92,0.208560252558995,0.0482987298233539,17.4738908788951,0.174817789628518,0.088776871229896,15,11,16.9781672477722,7.43568814507968,15,48.33,surf,ll_ml,17.8875568978172,0.057881880893653204,1.0448099307704979
100,G. truncatulinoides,92,0.0691963478987545,0.0632323753310091,11.3946949804671,0.0948004404975945,0.110625784385911,24,24,14.754187921683,6.33855808322575,24,96.36,surfsub,ml,11.5514626061865,0.021586023373801666,-1.79307144447262
100,T. quinqueloba,92,0.119906523058096,0.0782429576175445,5.44180556722135,0.0747662926241494,0.106614630949136,32,26,8.78387335687876,4.60659695856385,32,143.9,surfsub,hl_ml,6.47634134550201,-0.018395708916759013,1.05248296005084
108,B. digitata,100,0.114268217030019,0.0687416375471242,17.9033940605859,0.125148403241917,0.135629470972593,11,10,16.1414484544234,4.52380576484124,11,200,sub,ll,18.5739775623023,0.6259972742815982,-4.1542138366221
108,G. bulloides,100,0.0598334608616123,0.0576681365929736,9.25255753896829,0.0945058807826757,0.106865661510301,30,33,14.0971198240916,6.87694521477045,30,102.35,surfsub,gl,12.4860401395079,0.6031085983766005,4.76694018698041
108,G. falconensis,100,0.0743891921312115,0.0579020213748341,18.220321903518,0.0946453536606535,0.109842594236621,20,19,15.177845788002,6.51944736083626,20,92.92,surfsub,ml_ll,16.8158886855471,0.7272096713512006,-0.4542889847053999
108,G. calida,100,0.0830065332698485,0.0572135035254299,18.6646665124349,0.156650979787664,0.135780098075229,12,17,18.8217425346375,6.10030889535302,12,73.33,surf,ll_ml,17.94543877871085,0.8285011601007497,0.5929012844132018
108,G. siphonifera,100,0.0329335053858955,0.0529325768647618,18.8562509898287,0.153175389111258,0.138276452016456,16,20,17.2590070962906,6.97185201506947,16,83.78,surfsub,ll_ml,16.8158886855471,0.7272096713512006,-1.031712009194699
108,G. glutinata,100,0.0351769094518752,0.0531859041376821,9.53054223210187,0.108437820196684,0.128863352869308,30,27,13.8926270961761,7.11106780631911,30,78.62,surfsub,gl,12.4860401395079,0.6031085983766005,4.602831070419729
108,G. conglobatus,100,0.195790742860156,0.0904863132335982,23.4909416056434,0.10628958168989,0.0586162070693263,9,10,23.7811501820882,3.46187857938269,9,40,surf,ll,23.5961686699084,0.7248073103707995,-2.6126645359623986
108,G. ruber,100,0.0628767606877364,0.0509354093124807,15.4385504383197,0.121074950623945,0.102961768553789,23,23,17.1868675688039,7.12625262259046,23,40,surf,ll_ml,17.94543877871085,0.8285011601007497,2.752594157968799
108,G. inflata,100,0.0661167854861417,0.064762592296645,9.60162353599448,0.0842509700974602,0.0996762773856294,25,26,13.8984422492981,6.3480793609559,25,104.35,surfsub,gl,12.4860401395079,0.6031085983766005,2.3693383865883195
108,G. rubescens,100,0.0642910064139835,0.0720038049748256,19.6378712046274,0.109375046877797,0.108324291652784,11,15,18.567093632438,5.72029263975603,11,107.41,surfsub,ll,22.0587287415339,0.6839326480248005,-0.4353563887549008
108,G. tenella,100,0.157873250279338,0.0593288223373468,19.53884224229,0.125637120747957,0.0987813079225045,11,12,18.9420182054693,5.8917992493961,11,40,surf,ll,23.5961686699084,0.7248073103707995,1.9253164982134017
108,G. hirsuta,100,0.0858255952636452,0.0794767050650949,10.5429154619865,0.0803938872501514,0.0867461730298581,10,13,14.2071776390076,4.56649410679625,10,167.24,sub,ml,10.8648741452088,0.5728195818076003,2.5966459227025
108,G. scitula,100,0.0557794489311732,0.0790124277365629,10.6568296012606,0.0905977585751246,0.10407527307125,21,23,13.4930737813314,4.76632554217759,21,224.28,sub,ml,10.8648741452088,0.5728195818076003,3.2556440911640987
108,G. menardii,100,0.108606321186439,0.0912717563423155,24.5249467010733,0.124398992159867,0.0876841978736161,9,11,23.8867321014404,3.50271008439627,9,50,surf,ll,23.5961686699084,0.7248073103707995,-2.5679604669581018
108,N. dutertrei,100,0.0695567166838314,0.0512264105444155,18.3239341381566,0.146301845449139,0.105182529898338,15,17,18.7077013969421,7.04693275105217,15,62.69,surf,ll_ml,17.94543877871085,0.8285011601007497,0.0263105465029021
108,N. incompta,100,0.0308685419865545,0.0568660013072007,6.28393941195498,0.0939102633088296,0.100225555725281,31,34,11.0290205401759,6.64077589303432,31,80.93,surfsub,ml_hl,6.457945636585251,0.5519222307257694,6.560217011421121
108,N. pachyderma,100,0.0264763909777764,0.0582890151406743,6.0546765693091,0.0936612178370583,0.0938715565432085,35,41,10.9233966214316,7.21722024503095,35,113.35,surfsub,hl_ml,6.457945636585251,0.5519222307257694,6.4205368230177005
108,O. universa,100,0.0328189073287753,0.0519183137229534,16.9755491797656,0.140561663436303,0.133113899955398,20,15,16.1400085687637,7.00496894677714,20,79,surfsub,ml_ll,16.8158886855471,0.7272096713512006,-0.08184766412830058
108,P. obliquiloculata,100,0.0394016239057612,0.0687821912876316,24.2025879314457,0.147067430222893,0.1119173587375,9,9,22.2333326339722,5.96893845094199,9,44.51,surf,ll,23.5961686699084,0.7248073103707995,-3.126505269066797
108,T. sacculifer,100,0.0940270930104192,0.0918051880868398,20.6970664060654,0.0810862951863923,0.0624976341279534,14,15,22.0656318664551,4.08664073602163,14,60.71,surf,ll,23.5961686699084,0.7248073103707995,0.24731395990630034
108,T. trilobus,100,0.0644977388151098,0.147883795759591,20.305592345025,0.0477739617843068,0.0505427588107145,7,8,21.7287447793143,3.28417815670099,7,60.7,surf,ll,23.5961686699084,0.7248073103707995,0.10979640939000035
108,G. crassaformis,100,0.0815179044646471,0.0578329334741615,18.5187008096656,0.136927803541615,0.174817789628518,12,15,18.1807720263799,6.69268693821728,12,48.33,surf,ll_ml,17.94543877871085,0.8285011601007497,0.11995038151400195
108,G. truncatulinoides,100,0.0468266741579909,0.0552619168079786,9.60162353599448,0.100156251884735,0.0948004404975945,22,24,14.3731482895938,6.62571066605665,22,96.36,surfsub,ml,11.5730486295603,0.770486694677599,1.4619711729860185
108,T. quinqueloba,100,0.0653892813860217,0.0756280868508732,6.49428852727219,0.0909916357226527,0.0747662926241494,33,32,8.80378911565199,4.89539049791024,33,143.9,surfsub,hl_ml,6.457945636585251,0.5519222307257694,4.182369872831409
116,B. digitata,108,0.0589414074058959,0.0721262742638128,13.7491802239638,0.106607742356792,0.125148403241917,13,11,16.4401625119723,4.29402599825628,13,200,sub,ll,19.1999748365839,0.09046287376790119,0.6427036606058003
116,G. bulloides,108,0.084237047696161,0.0608218299928472,14.0194977259487,0.102302210461187,0.0945058807826757,30,30,15.6482137521108,6.21787884436697,30,102.35,surfsub,gl,13.0891487378845,0.12963811556790006,-3.0236134881072
116,G. falconensis,108,0.0960752351164095,0.0585072407114359,17.7660329188126,0.12860190385061,0.0946453536606535,18,20,17.8234583536784,6.26912111518742,18,92.92,surfsub,ml_ll,17.5430983568983,0.022173025871499163,2.227880597046802
116,G. calida,108,0.0617969013205133,0.0669423601050373,19.2575677968481,0.112658106762702,0.156650979787664,14,12,19.1270042828151,5.97276544733865,14,73.33,surf,ll_ml,18.7739399388116,-0.03131469285645139,-7.3219948503721
116,G. siphonifera,108,0.119777202409054,0.0651748283405318,17.824538980634,0.102455362940557,0.153175389111258,21,16,17.8879656110491,5.7137408206824,21,83.78,surfsub,ll_ml,17.5430983568983,0.022173025871499163,-7.7572091186506
