"bin","temp_ym_0m","temp_ym_surf","temp_ym_surfsub","temp_ym_sub"
28,10.8395489547145,10.5160486320925,9.8738073202942,9.0899935460232
36,11.5044275484979,11.104075977088,10.4035610145279,9.62016223602254
44,12.0292056385813,11.6074467937127,10.7518177634812,9.88717673061223
52,11.8333093756489,11.4208658725473,10.5805281601075,9.73712299301064
60,11.6621454130987,11.2426453286469,10.5252449249913,9.72606319817233
68,11.6919467512647,11.3328657127339,10.624784825344,9.89330325039296
76,12.212585554683,11.8440148082016,11.0632653905914,10.1845099628871
84,12.6285796688548,12.1539701911396,11.367493395289,10.5413264885802
92,13.2665072496595,12.8158136009496,11.8640994101249,10.9480115784332
100,12.868908463213,12.424534575145,11.5514626061865,10.6937452763833
108,12.768778499036,12.2947088875133,11.5730486295603,10.8648741452088
116,13.572715732147,13.226903897344,12.3435353242379,11.4376937270164
124,13.8123197917281,13.3453611424257,12.4770496861463,11.6187342667374
132,12.5693305928132,12.0848495433685,11.2260803199791,10.4066125278586
140,11.4779515391151,11.126724744169,10.3085783206183,9.43018427349884
148,11.2962635823622,10.9127657590755,10.2533439433395,9.49855192972283
156,11.0308578604447,10.6416448145591,9.91326858870573,9.09397737957409
164,11.6585981204592,11.2719157312459,10.4191550476541,9.5428399081631
172,11.6535288655617,11.2236269068631,10.4509505248918,9.63487067600182
180,11.7791935619609,11.3312919342987,10.5760186861823,9.80144071107538
188,12.687242410409,12.3216525265465,11.5019401882871,10.7359495080751
196,12.8738686420794,12.434252524074,11.6868032154595,10.922081157912
204,13.3238322989694,12.8623948323316,11.9466847963888,11.0732847853981
212,13.6933969773095,13.2294401221748,12.2261803124871,11.2682372416916
220,12.3682768114682,11.8644203070166,11.1003926585974,10.3369382235511
228,12.6678488587511,12.2736205166013,11.4710318487266,10.6649468577884
236,12.8532853760596,12.4972441049128,11.693878769881,10.8245246601516
244,13.0777111299079,12.5878541729188,11.7761932083245,10.9834848623113
252,12.0298545039933,11.6038050270688,10.7244351298356,9.85411240218271
