"species","morphDes","spinose","Macro.micro","structure","aperture","latest","earliest","mph","mphRef","eco","ecoRef","geo","geoRef","log.area","Approximate.diameter","newEnd","N","MaxAbund","ALD","ALDse","VD","VDse","DepthHabitat","DepthHabitatVar","ref"
"Globorotaloides hexagonus","Very low trochospiral, spiral side almost flat, equatorial periphery lobulate, chambers spherical","Spinose","Macroperforate","Coarsely cancellate","Interiomarginal umbilical-extraumbilical very low arch covered by distinct apertural plate or thick rim",0.003513,20.636074,2,"Kennett & Srinivasan (1983)",4,"Keller (1985); Pearson et al. (2001b)","Low latitudes","Kennett & Srinivasan (1983)",11.8037164231394,206.33339206169,0,NA,"2","150",NA,"75",NA,"Subsurface",NA,"Watkins et al. 1996"
"Globorotalia anfracta","Small, very low trochospiral, spiral side almost flat, equatorial profile lobulate; axial profile rounded, final chamber somewhat compressed; chambers inflated, 4-5 increasing slowly as added; sutures radial and depressed; surface smooth, translucent, covered with fine pustules",NA,"Macroperforate","Smooth","a low arch with a broad lip",NA,NA,NA,"Kennett & Srinivasan (1983), Mikrotax",NA,NA,NA,NA,NA,NA,0,"5","5.44","12.5","0","0","0","Surface",NA,"Schiebel et al. 2004, Rebotim et al. 2017"
"Globoturborotalita rubescens","Small, trochospiral, equatorial periphery lobulate, chambers spherical to subspherical","Spinose","Macroperforate","Cancellate","Umbilical small rounded opening bordered by a distinct rim",0,19.717579,2,"Kennett & Srinivasan (1983)",2,"This study","Low latitudes","Kennett & Srinivasan (1983)",10.2785754879705,96.2474809676339,0,"34","52.73","107.41","31.19","79.85","27.61","Surface.subsurface","Variable","Rebotim et al. 2017"
"Globoturborotalita tenella","Small, low trochospiral, chambers spherical","Spinose","Macroperforate","Cancellate","Primary aperture umbilical large almost circular opening with distinct rim small supplementary aperture on spiral side",0,2.537432,2,"Kennett & Srinivasan (1983)",2,"This study","Low latitudes","Kennett & Srinivasan (1983)",11.9025349771605,216.784234029616,0,"16","0.32","52.16","10.9","35.46","7.25","Surface","Variable","Rebotim et al. 2017"
"Hastigerina pelagica","Large, planispiral, involute, biumbilicate",NA,"Microperforate","Triradiate","Interiomarginal, a wide equatorial arch bordered by a thin lip",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"23","0.28","202.45","45.48","112.5","24.57","Subsurface","Stable","Rebotim et al. 2017"
"Hastigerinella digitata","Large, pseudoplanispiral, stellate, biumbilicate",NA,"Microperforate","Triradiate","Narrow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2","0.08",NA,NA,NA,NA,"Subsurface",NA,"Hull et al. 2011"
"Hirsutella bermudezi","Very small, low trochospiral, equatorial periphery subcirular, slightly biconvex","Non-spinose","Macroperforate","Smooth","Interiomarginal umbilical-extraumbilical low arch with distinct thin lip",0.763453,15.31205,16,"Kennett & Srinivasan (1983)",4,"This study","Low to middle latitudes","Kennett & Srinivasan (1983)",10.8450601250248,127.761484028016,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hirsutella hirsuta","Large, high trochospiral, highly convex on spiral side, concave on umbilical side","Non-spinose","Macroperforate","Smooth","Interiomarginal umbilical-extraumbilical low arch bordered by a thin lip",0.003513,8.303938,15,"Kennett & Srinivasan (1983)",4,"This study","Low to middle latitudes","Kennett & Srinivasan (1983)",12.8138986521074,341.922595715416,0,"27","6.4","167.24","58.25","79.6","27.08","Subsurface","Variable","Rebotim et al. 2017"
"Hirsutella scitula","Medium to low trochospiral, equatorial periphery slightly lobulate with keel-like rim","Non-spinose","Macroperforate","Smooth","Interiomarginal umbilical-extraumbilical low slit bordered by a pronounced lip",0,56.599841,14,"Kennett & Srinivasan (1983)",4,"Shackleton & Vincent (1978); D. R. M. Stewart unpublished data","Low to middle latitudes","Kennett & Srinivasan (1983)",12.1472782095345,245.00390809914,0,"37","13.04","224.28","37.58","85.3","19.16","Subsurface","Variable","Rebotim et al. 2017"
"Hirsutella theyeri","Large, thin, planoconvex to biconvex, markedly flaring chambers in final whorl with a thin discontinous peripheral keel","Non-spinose","Macroperforate","Smooth","Interiomarginal umbilical-extraumbilical low arch bordered by a distinct but thin lip",0.313029,3.174921,14,"Kennett & Srinivasan (1983)",4,"This study","Low latitudes","Kennett & Srinivasan (1983)",13.046133249267,384.022706253793,0,NA,"0.2","50",NA,"15",NA,"Surface",NA,"Schiebel et al. 2004"
