"bin","bin2","sp","h","pa","pe","bw1","bw2","n1","n2"
28,4,"Globigerinoides conglobatus",0.363294227268497,0.180508762365045,24.9344095569068,0.0361480272291587,0.0398668474822441,9,706
28,4,"Globigerinoides ruber",0.133231414729193,0.0545833041595732,18.8571758836085,0.146200833959545,0.0430781281913889,17,1027
28,4,"Globoturborotalita tenella",0.230225102723491,0.0564660211654327,21.8853812070146,0.131965584574763,0.0432508990715558,12,644
28,4,"Menardella menardii",0.282847188831367,0.194723029544117,24.9344095569068,0.0367611427774035,0.03904909395427,8,756
28,4,"Neogloboquadrina dutertrei",0.11134309568584,0.0729976490424646,17.2071383268516,0.0632303805108529,0.044591405714489,17,1013
28,4,"Pulleniatina obliquiloculata",0.265905126594777,0.104026962236616,24.9344095569068,0.0681252578381323,0.0391890199532838,10,729
28,4,"Trilobatus sacculifer",0.195093841838809,0.110261633718712,24.9344095569068,0.048648360976985,0.0390463386675093,12,944
28,4,"Trilobatus trilobus",0.278841199501365,0.133019894880028,18.0488646943157,0.0425913950759323,0.0413811077987847,10,798
156,4,"Globigerinoides conglobatus",0.257094801742673,0.0624403621161261,19.6837580273047,0.146718537302656,0.0398668474822441,11,706
156,4,"Globigerinoides ruber",0.157849875146964,0.0568089212564528,17.3680707140871,0.13160649632955,0.0430781281913889,16,1027
156,4,"Globoturborotalita tenella",0.269605542436201,0.0512838850684609,22.8583611657315,0.193209470229588,0.0432508990715558,9,644
156,4,"Menardella menardii",0.195381102205755,0.0984979605725958,20.2896836276352,0.091095542355997,0.03904909395427,10,756
156,4,"Neogloboquadrina dutertrei",0.129444087256306,0.0588495327596968,16.8013652853657,0.120400272574325,0.044591405714489,17,1013
156,4,"Pulleniatina obliquiloculata",0.325782478429962,0.0588255965675055,21.7908208722866,0.175588988870066,0.0391890199532838,10,729
156,4,"Trilobatus sacculifer",0.199125842401564,0.0770552404324196,17.6809835855682,0.095093502937287,0.0390463386675093,15,944
156,4,"Trilobatus trilobus",0.256216082696755,0.107406575863235,18.9885090249943,0.0584512299975882,0.0413811077987847,9,798
268,4,"Globigerinoides ruber",0.242228408271148,0.0545695843005759,19.2970614669246,0.094767027559148,0.0430781281913889,8,1027
268,4,"Neogloboquadrina dutertrei",0.200541475577469,0.0501524780058704,16.4118494456099,0.125209774381736,0.044591405714489,8,1013
356,4,"Globigerinoides ruber",0.159704270218446,0.0677443823899799,13.9426571433198,0.0922049523447212,0.0430781281913889,9,1027
356,4,"Globoturborotalita tenella",0.432442231371351,0.0959041958229379,13.28577566473,0.0728298082113388,0.0432508990715558,6,644
356,4,"Menardella menardii",0.200935895661442,0.0698535351223946,24.2189753931559,0.164121746511109,0.03904909395427,6,756
356,4,"Neogloboquadrina dutertrei",0.129240956141208,0.0674533352974138,17.8425191797594,0.110514543134156,0.044591405714489,9,1013
356,4,"Trilobatus sacculifer",0.32160701871146,0.0903449173819602,15.2957415151287,0.0747612451270705,0.0390463386675093,7,944
356,4,"Trilobatus trilobus",0.352633984605809,0.0794416414952442,15.5246515312614,0.0836514984710824,0.0413811077987847,6,798
436,4,"Globigerinoides conglobatus",0.262102721488607,0.0634737120714837,16.1342158186917,0.105138742369753,0.0398668474822441,8,706
436,4,"Globigerinoides ruber",0.143947269730418,0.0759313592441998,15.5300305144013,0.0874060810730453,0.0430781281913889,9,1027
436,4,"Globoturborotalita tenella",0.272780287226122,0.103803890336897,26.2115113216354,0.124891444739912,0.0432508990715558,6,644
436,4,"Menardella menardii",0.445216860766381,0.134895470880639,16.1919399930703,0.0582861209415201,0.03904909395427,6,756
436,4,"Neogloboquadrina dutertrei",0.313688583414384,0.118096275179507,16.0176711640274,0.0572226352286584,0.044591405714489,11,1013
436,4,"Trilobatus sacculifer",0.25982173000955,0.115584871991291,16.7563209123247,0.0657768232145954,0.0390463386675093,8,944
436,4,"Trilobatus trilobus",0.37406995700311,0.159430659871346,16.2493331558008,0.0439588905521332,0.0413811077987847,9,798
532,4,"Globigerinoides ruber",0.228881152468723,0.0821743693558184,15.8673288178531,0.0723849914224995,0.0430781281913889,9,1027
532,4,"Neogloboquadrina dutertrei",0.23907709079372,0.0846427090770848,15.6425980020411,0.0707059050542903,0.044591405714489,11,1013
532,4,"Trilobatus sacculifer",0.235667526907055,0.0959629915540067,17.5378318515053,0.0668311930796503,0.0390463386675093,7,944
668,4,"Globigerinoides ruber",0.265638613376549,0.0734376623643209,14.4692821138074,0.0859033320759664,0.0430781281913889,9,1027
668,4,"Neogloboquadrina dutertrei",0.239564155721867,0.0754435683703262,14.8826507341616,0.0835030729417267,0.044591405714489,9,1013
668,4,"Pulleniatina obliquiloculata",0.483194148354023,0.0935347352860227,14.3054028921117,0.0745063322787587,0.0391890199532838,6,729
668,4,"Trilobatus sacculifer",0.323811907741192,0.094202214844895,16.1526187932824,0.0722505967247563,0.0390463386675093,8,944
668,4,"Trilobatus trilobus",0.506799082549088,0.124004742903379,15.6409280622408,0.0414395520519445,0.0413811077987847,6,798
28,124,"Globigerinoides conglobatus",0.517343054756089,0.180508762365045,24.9344095569068,0.0361480272291587,0.148660984215175,9,12
28,124,"Globigerinoides ruber",0.074151177881764,0.0545833041595732,18.8571758836085,0.146200833959545,0.106487850375567,17,24
28,124,"Globoturborotalita tenella",0.104544941724385,0.0564660211654327,21.8853812070146,0.131965584574763,0.090987192966756,12,14
28,124,"Menardella menardii",0.2258520507943,0.194723029544117,24.9344095569068,0.0367611427774035,0.0609001811245682,8,12
